ID,Consultant,URL,Search_Term,DateRetrieved,DatePublished,Job_Category,Job_title,Company,City,Location,Payment Frequency,Salary,English Needed,BSc_needed,MSc_needed,PhD_needed,AI,Natural_Language_Processing(NLP),Data_Pipelines,Machine_Learning,Deep Learning,Computer_vision,Data_visualization,Data_warehouse,BigData,Data_management,Data_mining,Data_science,Bayesian,Optimization,Numerical_Analysis,IOT,R,SAS,SPSS,Python,MAtlab,Scala,C#,Java,C++,C,Bash,Tensorflow,pyspark,YOLO,MS Word,Ms Excel,Ms Access,Ms PowerPoint,Spreadsheets,Google_Analytics,Microsoft Power BI,Tableau,D3,Qlik,KNIME,Spotfire,Linux/Unix,OLE/DB,SQL,NoSQL,RDBMS,Oracle,MySQL,MongoDB,MPP_Platforms,SPL,Alteryx,Spark,Kafka,Hadoop,Pig,Hive,Map/Reduce,Impala,Storm,Google_Cloud,AWS,cloud_storage,S3,Redshift,DigitalOcean,Teradata,Solr,Elasticsearch,Presentation_Skills,Communication,Problem_Solving,Team_Handling,agile execution,Data_marketing,SEO,graphics_and_design_skills,Content_Management,Economic,Finance_Knowledge,Investment_Knowledge,Debtor_reconcilation,Payroll_management,web_design_and_development_tools,PHP,Javascript,Web_Analytic_tools,Knowledge_in,year,Educational_qualifications,Experience_Category
11,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3409542113,Data Engineer,06-01-23,23-12-22,Data Science,Machine Learning Engineer,Synopsys,NA,Sri Lanka,NA,NA,0,"Computer Science, Electronics",1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Two or less years
12,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3419684030,Data Engineer,06-01-23,06-01-23,Data Science,Data Scientist,JKH,Colombo,Sri Lanka,NA,NA,0,0,"CS, Math, Statistics, OR",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
13,Kavya,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3411056563&start=24,Data Scientist,06-01-23,23-12-22,Data Science,AWS Lead Data Engineer,Nagarro,NA,Sri Lanka,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Two or less years
14,Kavya,https://www.linkedin.com/jobs/search/?currentJobId=3419692785&keywords=data&refresh=true,Data Scientist,06-01-23,04-01-23,Data Science,Lead Data Engineer,Dialog,Colombo,Sri Lanka,NA,NA,0,"IT, Mathematics, Statistics",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
15,Kavya,https://www.linkedin.com/jobs/search/?currentJobId=3400389047&geoId=100446352&keywords=AI&location=Sri%20Lanka&refresh=true,AI Engineer,06-01-23,23-12-22,Data Science,Machine Learning Researcher,APAC,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
16,Kavya,https://www.google.com/search?q=data+science+jobs+in+dubai&oq=data+science+jobs+in+dubai&aqs=chrome..69i57j0i512j0i22i30l8.4948j0j7&sourceid=chrome&ie=UTF-8&ibp=htl;jobs&sa=X&ved=2ahUKEwjQx5TcjsT8AhUccWwGHUyvDQUQkd0GegQIDBAB#fpstate=tldetail&htivrt=jobs&htiq=data+science+jobs+in+dubai&htidocid=xiFca_vUgtoAAAAAAAAAAA%3D%3D&sxsrf=AJOqlzXabc4eKdWyMhTTQvvPWcD0M9bvbA:1673598087806,Data science jobs in Dubai,13-01-23,23-12-22,Data Science,Data Scientist,Eurasian Resource Group,Dubai,United Arab Emirates,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
17,Kavya,"https://www.glassdoor.com/Job/dubai-data-scientist-jobs-SRCH_IL.0,5_IC2204498_KO6,20.htm",Data science jobs in Dubai,13-01-23,06-01-23,Data Science,Product Data Scientist,Binance,Dubai,United Arab Emirates,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,More than 2 and less than 5 years
18,Kavya,"https://www.glassdoor.com/Job/auckland-auckland-data-scientist-jobs-SRCH_IL.0,17_IC3525162_KO18,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008398409473&ao=1136043&s=345&guid=00000185aa5e3ac8b4a06c4076b11424&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&cs=1_84da1eac&cb=1673600580469&jobListingId=1008398409473&jrtk=3-0-1gml5senri3bf801-1gml5seolgaiu800-32428e1dd108c4fd-",Data science jobs in new zealand,13-01-23,11-01-23,Data Science,Data Scientist,New Zealand Governement,Auckland,New Zealand,NA,70000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
19,Kavya,"https://www.glassdoor.com/Job/auckland-data-scientist-jobs-SRCH_IL.0,8_IC3525162_KO9,23.htm?fromAge=7",Data science jobs in new zealand,13-01-23,12-01-23,Business Analytics,Business Analyst,New Zealand Governement,Auckland,New Zealand,monthly,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
20,Kavya,"https://www.glassdoor.com/Job/remote-machine-learning-engineer-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm?src=GD_JOB_AD&srs=ALL_RESULTS&jl=1008400099197&ao=1136043&s=345&guid=00000185aa782e579d4a1393627a4f8d&pos=101&t=SR-JOBS-HR&vt=w&uido=9732854E2874D4514C7241E97E704B73&ea=1&cs=1_21393334&cb=1673602281388&jobListingId=1008400099197&jrtk=3-0-1gml7gbk8j45v801-1gml7gbktgajt800-78c6a249ff222d5d-",machine learning engineer,13-01-23,13-01-23,AI,AI Engineer,Devcare Solutions,NA,NA,hourly,50,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2022,NA,Unknown or Not needed
